Year,Quarter,Month,Month Name,Day,Date,Day_of_Week,Country,Region,City,Aircraft Manufacturer,Aircraft,Operator,Operator Category,Aboard,Fatalities (Air),Ground
1969,Qtr 2,4,April,2,1969-04-02,Wednesday,Bahamas,Bahamas,New Providence Island,Curtiss,Curtiss C,Inc Bahamas The Of Islands,Commercial,2,2.0,0
1974,Qtr 2,4,April,22,1974-04-22,Monday,Indonesia,Bali,Grogak,Boeing,Boeing B 707,Indonesia Pan American World Airways,Commercial,107,107.0,0
1960,Qtr 2,4,April,22,1960-04-22,Friday,Belgian,Belgian,Bunia,Douglas,Douglas C,Belgium Sa Congosobelair,Commercial,35,35.0,0
2008,Qtr 2,4,April,28,2008-04-28,Monday,Black Sea,Black,Crimea,Mil,Mil Mi,Seanaftogaz,Commercial,20,20.0,0
1985,Qtr 2,4,April,20,1985-04-20,Saturday,Bolivia,Bolivia,Santa Rosa,Convair,Convair Cv,Transportada Aereo Carga,Commercial,4,4.0,0
1981,Qtr 2,4,April,6,1981-04-06,Monday,Bolivia,Bolivia,Laguna Soliz,Douglas,Douglas C,Urcupina,Commercial,7,7.0,0
1974,Qtr 2,4,April,4,1974-04-04,Thursday,Botswana,Botswana,Francistown,Douglas,Douglas Dc 4A2,Services Air Wenela,Commercial,84,78.0,0
1952,Qtr 2,4,April,29,1952-04-29,Tuesday,Brazil,Brazil,Carolina,Boeing,Boeing 377 10,Airways World American Pan,Commercial,50,50.0,0
1980,Qtr 2,4,April,12,1980-04-12,Saturday,Brazil,Brazil,Florianopolis,Boeing,Boeing B 727,Transbrasil,Commercial,58,55.0,0
1956,Qtr 2,4,April,18,1956-04-18,Wednesday,Brazil,Brazil,Parintins,Consolidated,Consolidated Pby 5A,Panair do Brasil,Commercial,12,3.0,0
1957,Qtr 2,4,April,7,1957-04-07,Sunday,Brazil,Brazil,Bage,Curtiss,Curtiss C 46A,Varig,Commercial,40,40.0,0
1957,Qtr 2,4,April,10,1957-04-10,Wednesday,Brazil,Brazil,Anchieta Island,Douglas,Douglas Dc 3Pp,Real,Commercial,30,26.0,0
1960,Qtr 2,4,April,12,1960-04-12,Tuesday,Brazil,Brazil,Pelotas,Douglas,Douglas Dc 3Pp,Cruzeiro,Commercial,22,10.0,0
1984,Qtr 2,4,April,18,1984-04-18,Wednesday,Brazil,Brazil,Imperatriz,Embraer 110Ej Band./Embraer 110P,Embraer 110Ej Band. Embraer 110P Band.Pt Gjz Pt,Votec Votec,Commercial,35,19.0,0
1999,Qtr 2,4,April,7,1999-04-07,Wednesday,Brazil,Brazil,Ribeirao Preto,Learjet,Learjet 24Dpt Lem,Aéreo Táxi Manacá,Commercial,5,5.0,0
1972,Qtr 2,4,April,12,1972-04-12,Wednesday,Brazil,Brazil,Rio De Janeiro,NAMC,Namc Ys 11A,Vasp,Commercial,25,25.0,0
2011,Qtr 2,4,April,21,2011-04-21,Thursday,Brazil Amazonaves,Brazil,Manaus,Piper,Embraer Piper Emb 810C,Taxi Air,Commercial,7,7.0,0
1947,Qtr 2,4,April,28,1947-04-28,Monday,United Kingdom,British,Vancouver,Lockheed,Lockheed 18 Loadstarcf Tdf,Canada Columbia Trans Canada Air Lines,Commercial,15,15.0,0
1933,Qtr 2,4,April,23,1933-04-23,Sunday,Italy,Calabria,Castrovillari,Cams,Cams 53 1F,Italy Air Orient,Commercial,8,5.0,0
1952,Qtr 2,4,April,18,1952-04-18,Friday,United States,California,Whittier,Curtiss,Curtiss C 46F,Airlines Robin Airlines Continental North,Commercial,29,29.0,0
1992,Qtr 2,4,April,22,1992-04-22,Wednesday,United States,California,Perris Valley,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Aviation Valley Perris,Commercial,22,16.0,0
1953,Qtr 2,4,April,20,1953-04-20,Monday,United States,California,San Francisco Bay,Douglas,Douglas Dc,Western Airlines,Commercial,10,8.0,0
1929,Qtr 2,4,April,21,1929-04-21,Sunday,United States,California,San Diego,Ford,Ford 5 At,Force Air U S Army  Airlines Maddux,Military,6,6.0,0
1979,Qtr 2,4,April,14,1979-04-14,Saturday,United States,California,Avalon,Grumman,Grumman G 21,Airlines Catalina,Commercial,11,1.0,0
1973,Qtr 2,4,April,12,1973-04-12,Thursday,United States,California,Moffett Afb,Lockheed,Lockheed P 3C Convair Cv,Nasa Navy U S,Military,17,16.0,0
2006,Qtr 2,4,April,23,2006-04-23,Sunday,Cameroon,Cameroon,Kousséri,Antonov,Antonov 74Tk,Force Air Arab Lybian,Military,6,6.0,0
1955,Qtr 2,4,April,18,1955-04-18,Monday,Cameroons,Cameroons,Kupe Mountains,De Havilland,De Havilland Dh 114 Heron 1Bf,Aeriens Transportes Des Union,Commercial,14,12.0,0
1944,Qtr 2,4,April,25,1944-04-25,Tuesday,Canada,Canada,Montreal,Consolidated,Consolidated Liberator,Force Air Royal,Military,16,16.0,0
1991,Qtr 2,4,April,4,1991-04-04,Thursday,Canada,Canada,Lake Thutade,Douglas,Douglas C 47B,Services Air Mountain Central,Commercial,7,6.0,0
1980,Qtr 2,4,April,25,1980-04-25,Friday,Canary Islands,Canary,Tenerife,Boeing,Boeing B 727,Services Air Islandsdan,Commercial,146,146.0,0
1965,Qtr 2,4,April,14,1965-04-14,Wednesday,Channel Islands,Jersey (UK),,Douglas,Douglas C,Ukbritish United Airways Islands,Commercial,27,26.0,0
2007,Qtr 2,4,April,27,2007-04-27,Friday,Chechnya,Chechnya,Shatoi,Mil,Mi 8,Russian,Military,18,18.0,0
1954,Qtr 2,4,April,13,1954-04-13,Tuesday,Chile,Chile,Batuco,Douglas,Douglas Dc,LAN Airlines,Commercial,14,14.0,0
1961,Qtr 2,4,April,3,1961-04-03,Monday,Chile,Chile,Llico,Douglas,Douglas Dc 3Cc,LAN Airlines,Commercial,24,24.0,0
1968,Qtr 2,4,April,8,1968-04-08,Monday,Chile,Chile,Coyhaique,Douglas,Douglas Dc 3Cc,Ladeco,Commercial,36,36.0,0
2019,Qtr 2,4,April,16,2019-04-16,Tuesday,Chile,Chile,Puerto Montt,Pilatus,Pilatus Britten Norman Bn,Aereos Service Archipelagos,Commercial,6,6.0,0
1945,Qtr 2,4,April,9,1945-04-09,Monday,China,China,Kunming,Douglas,Douglas C,Corporation Aviation National China,Commercial,3,3.0,0
1999,Qtr 2,4,April,15,1999-04-15,Thursday,China,China,Shanghi,Mcdonnell Douglas,Mcdonnell Douglas Md,Korean Air,Commercial,3,3.0,0
1934,Qtr 2,4,April,10,1934-04-10,Tuesday,China,China,Ningpo Bay,Sikorsky,Sikorsky S,Corporation Aviation National China,Commercial,3,3.0,0
1946,Qtr 2,4,April,8,1946-04-08,Monday,China,China,Shensi,Douglas,Douglas DC-3,Air China,Commercial,14,14.0,0
1922,Qtr 2,4,April,8,1922-04-08,Saturday,China,China,Pao Ting Fou,Curtiss,Curtiss JN-4,Air China,Commercial,17,17.0,0
1989,Qtr 2,4,April,26,1989-04-26,Wednesday,Colombia,Colombia,Baranquilla,Aerospatiale,Aérospatiale Se 210,Aerosucre Colombia,Commercial,5,5.0,0
2002,Qtr 2,4,April,19,2002-04-19,Friday,Colombia,Colombia,Popayán,Antonov,Antonov An,Colombia Selva,Commercial,8,3.0,0
2012,Qtr 2,4,April,30,2012-04-30,Monday,Colombia,Colombia,Sabanagrande,Bell,Bell 212,Colombiana Aerea Fuerza,Military,13,13.0,0
1998,Qtr 2,4,April,20,1998-04-20,Monday,Colombia,Colombia,Bogota,Boeing,Boeing B 727,France Air,Commercial,53,53.0,0
1960,Qtr 2,4,April,19,1960-04-19,Tuesday,Colombia,Colombia,Bogota,Curtiss,Curtiss C,Colombiano Aereo Lloyd,Commercial,51,37.0,0
1999,Qtr 2,4,April,8,1999-04-08,Thursday,Colombia,Colombia,Malaga,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Aerotaca,Commercial,5,5.0,0
1986,Qtr 2,4,April,27,1986-04-27,Sunday,Colombia,Colombia,Saravena,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Aces Colombia,Commercial,13,13.0,0
1978,Qtr 2,4,April,29,1978-04-29,Saturday,Colombia,Colombia,Bogota,Douglas,Douglas C,Colombia Lac,Commercial,12,8.0,0
1950,Qtr 2,4,April,15,1950-04-15,Saturday,Colombia,Colombia,Santa Ana,Douglas,Douglas C 47 (Dc,Nacionales Aéreas Lineas,Commercial,4,2.0,0
1962,Qtr 2,4,April,22,1962-04-22,Sunday,Colombia,Colombia,Serrania Del Baudo,Douglas,Douglas C 47A,Avispa,Commercial,40,40.0,0
1962,Qtr 2,4,April,6,1962-04-06,Friday,Colombia,Colombia,Villavicencio,Douglas,Douglas C,Force Air Colombian,Military,31,31.0,0
1977,Qtr 2,4,April,10,1977-04-10,Sunday,Colombia,Colombia,Sw Of Bogota,Douglas,Douglas Dc 3,Venado El,Commercial,35,35.0,0
1976,Qtr 2,4,April,2,1976-04-02,Friday,Colombia,Colombia,Puerto Asis,Douglas,Douglas Dc,Satena,Commercial,16,5.0,0
1951,Qtr 2,4,April,2,1951-04-02,Monday,Colombia,Colombia,Bogota,Douglas,Douglas Dc 3Hk,Avianca,Commercial,26,26.0,0
1967,Qtr 2,4,April,26,1967-04-26,Wednesday,Colombia,Colombia,Sogamosa,Douglas,Douglas Dc 3Hk,Avianca,Commercial,18,17.0,0
1989,Qtr 2,4,April,19,1989-04-19,Wednesday,Colombia,Colombia,Cucuta,Pilatus,Pilatus Pc 6 Turbo,Satena,Commercial,11,11.0,0
1981,Qtr 2,4,April,17,1981-04-17,Friday,United States,Colorado,Loveland,Cessna,Hadley Page 137Jetstream I Cessna 206N11360,Private Us Air,Private,19,15.0,0
2011,Qtr 2,4,April,4,2011-04-04,Monday,Republic Of The Congo,Congo,Kinshasa,Canadair,Canadair Cl 600 Crj,Nations United,Commercial,33,32.0,0
2008,Qtr 2,4,April,15,2008-04-15,Tuesday,Republic Of The Congo,Congo,Goma,Mcdonnell Douglas,Mcdonnell Douglas Dc 9,Airways Bora Hewa,Commercial,94,3.0,37
1996,Qtr 2,4,April,3,1996-04-03,Wednesday,Croatia,Croatia,Dubrovnik,Boeing,Boeing B 737,Force Air U S,Military,35,35.0,0
1988,Qtr 2,4,April,5,1988-04-05,Tuesday,Cyprus,Cyprus,Combi,Boeing,Boeing B 747,Kuwait Airways,Commercial,112,2.0,0
