Year,Quarter,Month,Month Name,Day,Date,Day_of_Week,Country,Region,City,Aircraft Manufacturer,Aircraft,Operator,Operator Category,Aboard,Fatalities (Air),Ground
1975,Qtr 1,2,February,27,1975-02-27,Thursday,Brazil,Brazil,Sao Paulo,Embraer 110C,Embraer 110C Bandeirantepp Sbe,Vasp,Commercial,15,15.0,0
1992,Qtr 1,2,February,3,1992-02-03,Monday,Brazil,Brazil,Caetite,Embraer 110C,Embraer 110C Bandeirantept Tbb,Aéreas Linhas Nordeste,Commercial,12,12.0,0
1981,Qtr 1,2,February,24,1981-02-24,Tuesday,Brazil,Brazil,Belem,Embraer 110P,Embraer 110P Bandeirantept Glb,Votec,Commercial,14,11.0,0
1990,Qtr 1,2,February,12,1990-02-12,Monday,Brazil,Brazil,Bauru,Fokker,Fokker 27 Friendship 200Pt Lcg,Brazil Tam,Commercial,40,2.0,2
1932,Qtr 1,2,February,27,1932-02-27,Saturday,Brazil,Brazil,Setiba,Latecoere,Latecoere 28F,Aeropostale,Commercial,3,3.0,0
1945,Qtr 1,2,February,15,1945-02-15,Thursday,Brazil,Brazil,Lagoa Santa,Lockheed,Lockheed 18 Loadstarpp Nae,Brasileira Aerea Navegacao,Commercial,11,11.0,0
1942,Qtr 1,2,February,20,1942-02-20,Friday,Brisbane,Brisbane,Belmont,De Havilland,Dehavilland Dh,Australia Qantas,Commercial,9,9.0,0
1978,Qtr 1,2,February,11,1978-02-11,Saturday,United Kingdom,British,Cranbrook,Boeing,Boeing B 737,Canada Columbia Pacific Western Airlines,Commercial,49,42.0,0
1951,Qtr 1,2,February,3,1951-02-03,Saturday,Buea,Cameroon,Mt.,Douglas,Douglas Dc 4F,British Cameroons Air France,Commercial,29,29.0,0
1978,Qtr 1,2,February,28,1978-02-28,Tuesday,United States,California,Solvang,Aero Commander,Aero Commander 500,Air Security,Commercial,7,7.0,0
1985,Qtr 1,2,February,19,1985-02-19,Tuesday,United States,California,300 Nm Nw Of San Francisco,Boeing,Boeing B 747,Taiwan Airlines China,Commercial,274,0.0,0
1932,Qtr 1,2,February,2,1932-02-02,Tuesday,United States,California,Rio Vista,Boeing,Boeing 40,Transport Air Boeing,Commercial,2,1.0,0
1938,Qtr 1,2,February,2,1938-02-02,Wednesday,United States,California,San Clemente,Consolidated,Consolidated Pby 2 Consolidated Pby,Navy U S  Navy U S,Military,14,11.0,0
1958,Qtr 1,2,February,1,1958-02-01,Saturday,United States,California,Norwalk,Douglas,Douglas C 118A Lockheed P2V,Navy U S  Force Air U S,Military,41,41.0,1
1937,Qtr 1,2,February,9,1937-02-09,Tuesday,United States,California,San Francisco,Douglas,Douglas Dc,Lines Air United,Commercial,11,11.0,0
1969,Qtr 1,2,February,18,1969-02-18,Tuesday,United States,California,Lone Pine,Douglas,Douglas Dc,Airlines County Mineral,Commercial,35,35.0,0
1976,Qtr 1,2,February,8,1976-02-08,Sunday,United States,California,Van Nuys,Douglas,Douglas Dc,Airlines Mercer,Commercial,6,3.0,0
1945,Qtr 1,2,February,13,1945-02-13,Tuesday,United States,California,Oakland,Douglas,Douglas R4D,Navy U S,Military,24,24.0,0
1956,Qtr 1,2,February,17,1956-02-17,Friday,United States,California,Niles,Douglas,Douglas,Corps Marine U S,Military,40,40.0,0
1963,Qtr 1,2,February,3,1963-02-03,Sunday,United States,California,San Francisco,Lockheed,Lockheed 1049H Super,Airways Slick,Commercial,8,4.0,0
2000,Qtr 1,2,February,16,2000-02-16,Wednesday,United States,California,Sacramento,Mcdonnell Douglas,Mcdonnell Douglas Dc 8,Worldwide Emery,Commercial,3,3.0,0
1981,Qtr 1,2,February,22,1981-02-22,Sunday,United States,California,Avalon,Sikorsky,Sikorsky S,Taxi Air Helicopter,Commercial,8,2.0,0
1935,Qtr 1,2,February,12,1935-02-12,Tuesday,Californiia,Californiia,Point Sur,Goodyear,Goodyear Zeppelin U.S.S. Macon (Airship)Zrs,Navy Us,Military,83,2.0,0
1952,Qtr 1,2,February,19,1952-02-19,Tuesday,Cameroon,Cameroon,Yaounde,Consolidated  32 Liberator,Consolidated 32 Liberator Iif,Staap,Commercial,9,9.0,0
1953,Qtr 1,2,February,2,1953-02-02,Monday,Canada,Canada,Newfoundland,Avro,Avro 685 York,Skyways Corporation Aircraft Lancashire,Commercial,39,39.0,0
1968,Qtr 1,2,February,7,1968-02-07,Wednesday,Canada,Canada,Vancouver,Boeing,Boeing B 707,Canadian Pacific Air Lines,Commercial,61,1.0,1
1956,Qtr 1,2,February,13,1956-02-13,Monday,Canada,Canada,Frobisher Bay,Bristol 170 Freighter,Bristol 170 Freighter,Airways Central Maritime,Commercial,2,2.0,0
1977,Qtr 1,2,February,28,1977-02-28,Monday,Canada,Canada,Saglouc,Douglas,Douglas Dc 3C,Survair,Commercial,10,4.0,0
2009,Qtr 1,2,February,15,2009-02-15,Sunday,Chile,Chile,Chanco,Bell,Bell Uh,Service Flight,Commercial,13,13.0,0
1991,Qtr 1,2,February,20,1991-02-20,Wednesday,Chile,Chile,Puerto Williams,British Aerospace,British Aerospace Bae 146,LAN Airlines,Commercial,72,20.0,0
1959,Qtr 1,2,February,18,1959-02-18,Wednesday,Chile,Chile,Belen,Curtiss,Curtiss C,Airways Cross Southern,Commercial,5,5.0,0
1965,Qtr 1,2,February,6,1965-02-06,Saturday,Chile,Chile,San Jose Volcano,Douglas,Douglas Dc,LAN Airlines,Commercial,87,87.0,0
1947,Qtr 1,2,February,21,1947-02-21,Friday,China,China,Chungking,Douglas,Douglas C 47,Force Air Chinese,Military,21,21.0,0
1942,Qtr 1,2,February,19,1942-02-19,Thursday,China,China,Zhengzhou-Xinzheng,Douglas,Douglas Dc 245,Corporation Aviation National China,Commercial,1,1.0,0
1999,Qtr 1,2,February,24,1999-02-24,Wednesday,China,China,Rui'An,Tupolev,Tupolev Tu,Airlines Southwest China,Commercial,61,61.0,0
1975,Qtr 1,2,February,22,1975-02-22,Saturday,Colombia,Colombia,Medellin,Canadair,Canadair Cl,Aerocondor,Commercial,5,5.0,0
1949,Qtr 1,2,February,5,1949-02-05,Saturday,Colombia,Colombia,Buenaventura Bay,Consolidated,Consolidated Pby 5A,Avianca,Commercial,14,3.0,0
1993,Qtr 1,2,February,20,1993-02-20,Saturday,Colombia,Colombia,Bogota,Convair,Convair Cv,Panama Three Cargo,Commercial,2,2.0,0
1951,Qtr 1,2,February,14,1951-02-14,Wednesday,Colombia,Colombia,Yali,Curtiss,Curtiss C,Nacionales Aéreas Lineas,Commercial,2,2.0,0
1962,Qtr 1,2,February,25,1962-02-25,Sunday,Colombia,Colombia,Municipio De Marulanda,Douglas,Douglas C,Avianca,Commercial,2,2.0,0
1970,Qtr 1,2,February,12,1970-02-12,Thursday,Colombia,Colombia,Puerto Infrida,Douglas,Douglas Dc 3 (C,Lineas Aereas La Urraca,Commercial,12,12.0,2
1947,Qtr 1,2,February,15,1947-02-15,Saturday,Colombia,Colombia,Bogota,Douglas,Douglas Dc 4C,Avianca,Commercial,53,53.0,0
1976,Qtr 1,2,February,4,1976-02-04,Wednesday,Colombia,Colombia,Santa Maria,Douglas,Douglas Dc,Colombia Lac,Commercial,3,3.0,0
1982,Qtr 1,2,February,19,1982-02-19,Friday,Colombia,Colombia,Cerro El Tablazo,Douglas,Douglas Dc,Columbia Lac,Commercial,4,4.0,0
1972,Qtr 1,2,February,5,1972-02-05,Saturday,Colombia,Colombia,Valledupar,Fairchild,Fairchild F,Colombia Tac,Commercial,19,19.0,0
1990,Qtr 1,2,February,5,1990-02-05,Monday,Colombia,Colombia,Ibague,Grumman,Grumman G 159 Gulfstream Ihk,Colombia De Nacionales Helicopteros,Commercial,15,15.0,0
1990,Qtr 1,2,February,27,1990-02-27,Tuesday,United States,Colorado,Denver,Cessna,Cessna 208A Caravan I,Express Federal,Commercial,1,1.0,0
2005,Qtr 1,2,February,16,2005-02-16,Wednesday,United States,Colorado,Pueblo,Cessna,Cessna 560 Citation,Charter Stores City Circuit,Chartered,8,8.0,0
1947,Qtr 1,2,February,14,1947-02-14,Friday,United States,Colorado,Denver,Curtiss,Curtiss C,Airways Slick,Commercial,2,2.0,0
1940,Qtr 1,2,February,27,1940-02-27,Tuesday,Columbia,Columbia,Bucaramanga,Boeing,Boeing 247,Scadta,Commercial,11,11.0,0
1970,Qtr 1,2,February,10,1970-02-10,Tuesday,United States,Connecticut,Long Island Sound,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Airlines Pilgrim,Commercial,5,5.0,0
1930,Qtr 1,2,February,3,1930-02-03,Monday,United States,Connecticut,Hartford,Pitcairn,Pitcairn Pa 6,Colonial Air Transport,Commercial,1,1.0,0
1975,Qtr 1,2,February,9,1975-02-09,Sunday,Crete,Crete,Souda,Transall,Transall C,Luftwaffe Deutsche,Military,40,40.0,0
1974,Qtr 1,2,February,9,1974-02-09,Saturday,Crete,Crete,Souda,Transall,Transall C,Force Air German West,Military,40,35.0,0
1980,Qtr 1,2,February,3,1980-02-03,Sunday,Cuba,Cuba,Baracoa,Yakovlev,Yakovlev Yak,Aviacon De Cubana,Commercial,37,1.0,0
1988,Qtr 1,2,February,27,1988-02-27,Saturday,Cyprus,Cyprus,Ercan,Boeing,Boeing B 727,Airways Talia,Commercial,15,15.0,0
1950,Qtr 1,2,February,27,1950-02-27,Monday,Czechoslovakia,Czechoslovakia,Prague,Douglas,Douglas C 47A,Ceskoslovenske Aerolinie,Commercial,30,5.0,0
1973,Qtr 1,2,February,19,1973-02-19,Monday,Czechoslovakia,Czechoslovakia,Prague,Tupolev,Tupolev Tu,Aeroflot,Commercial,100,66.0,0
1947,Qtr 1,2,February,5,1947-02-05,Wednesday,United States,Delaware,Harrington,Douglas,Douglas Dc,Freight Air International,Commercial,3,1.0,0
1949,Qtr 1,2,February,8,1949-02-08,Tuesday,Denmark,Denmark,Copenhagen,Vickers,Vickers 628 Viking 1Boy Dlu,Sas Airlines Scandinavian,Commercial,27,27.0,0
1982,Qtr 1,2,February,3,1982-02-03,Wednesday,Djbouti,Djibouti,,Nord 2501,Nord 2501 Noratlas140,Force Air French,Military,35,35.0,0
1996,Qtr 1,2,February,6,1996-02-06,Tuesday,Dominican Republic,Domincan,Puerto Plata,Boeing,Boeing B 757,Leased From Birgen Air Nacionales Republicalas,Commercial,189,189.0,0
1970,Qtr 1,2,February,15,1970-02-15,Sunday,Dominican Republic,Dominican,Santo Domingo,Mcdonnell Douglas,Mcdonnell Douglas Dc 9,Aviacion De Dominicana Republiccompania,Commercial,102,102.0,0
1966,Qtr 1,2,February,2,1966-02-02,Wednesday,East,East,Faridpur,Sikorsky,Sikorsky S,Airlines International Bangladesh Pakistan Pakistan,Commercial,24,23.0,0
1971,Qtr 1,2,February,17,1971-02-17,Wednesday,Ecuador,Ecuador,Mt. Cunatineuta,Curtiss,Curtiss C,Militares Aereos Transportes Tam,Commercial,12,12.0,0
1991,Qtr 1,2,February,14,1991-02-14,Thursday,Ecuador,Ecuador,Taisha,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Force Air Ecuadorean,Military,22,22.0,0
2009,Qtr 1,2,February,20,2009-02-20,Friday,Egypt,Egypt,Luxor,Antonov,Antonov 12Vs9 Svn,Aerolift,Commercial,5,5.0,0
1973,Qtr 1,2,February,21,1973-02-21,Wednesday,Egypt,Egypt,Isma'Iliya,Boeing,Boeing B 727,Airlines Arab Libya,Commercial,113,108.0,0
1953,Qtr 1,2,February,9,1953-02-09,Monday,Egypt,Egypt,Cairo,Curtiss,Curtiss Wright C,Force Air Egyptian,Military,40,29.0,0
1956,Qtr 1,2,February,20,1956-02-20,Monday,Egypt,Egypt,Cairo,Douglas,Douglas Dc 6Bf,France Intercontinentaux Aerien Transport,Commercial,64,52.0,0
1958,Qtr 1,2,February,19,1958-02-19,Wednesday,Egypt,Egypt,Cairo,Douglas,Douglas Dc,KLM Royal Dutch Airlines,Commercial,21,1.0,0
1984,Qtr 1,2,February,19,1984-02-19,Sunday,El,El,San Gerardo,Bell,Bell Uh 1H Bell Uh,Force Air Salvadoran Salvadormilitary,Military,28,28.0,0
1945,Qtr 1,2,February,6,1945-02-06,Tuesday,United Kingdom,England,Nunters Burgh,Douglas,Douglas C 47,Force Air Royal,Military,23,23.0,0
1930,Qtr 1,2,February,10,1930-02-10,Monday,United Kingdom,England,Marden,Farman,Farman F 63F,Air Union,Commercial,6,2.0,0
1994,Qtr 1,2,February,25,1994-02-25,Friday,United Kingdom,England,East Midlands,Vickers,Vickers 813 Viscountg,Airways World British,Commercial,2,1.0,0
2003,Qtr 1,2,February,10,2003-02-10,Monday,Estonia,Estonia,Tallinn,Antonov,Antonov An,Enimex,Commercial,3,2.0,0
1984,Qtr 1,2,February,16,1984-02-16,Thursday,Ethiopia,Ethiopia,Debre Zelt,Antonov,Antonov An,Force Air Ethiopian,Military,38,26.0,0
1979,Qtr 1,2,February,19,1979-02-19,Monday,Ethiopia,Ethiopia,Barentu,Douglas,Douglas Dc 3Et,Ethiopian Airlines,Commercial,5,5.0,0
1964,Qtr 1,2,February,3,1964-02-03,Monday,United States,Florida,Gainsville,Beechcraft,Beech,Airlines Central South,Commercial,10,10.0,0
1963,Qtr 1,2,February,12,1963-02-12,Tuesday,United States,Florida,Miami,Boeing,Boeing B 720,Northwest Orient Airlines,Commercial,43,43.0,0
1965,Qtr 1,2,February,13,1965-02-13,Saturday,United States,Florida,Miami,Curtiss,Curtiss C,Salvador El Aerolineas,Commercial,2,2.0,0
1932,Qtr 1,2,February,1,1932-02-01,Monday,United States,Florida,Miami,Fairchild,Fairchild,Airways Bimini,Commercial,5,5.0,0
1948,Qtr 1,2,February,7,1948-02-07,Saturday,United States,Florida,Jacksonville,Lockheed,Lockheed L 649,Lines Air Eastern,Commercial,69,1.0,0
1953,Qtr 1,2,February,7,1953-02-07,Saturday,France,France,Bordeaux,Douglas,Douglas C 54A,Uta,Commercial,19,9.0,0
1939,Qtr 1,2,February,24,1939-02-24,Friday,France,France,Roubien,Junkers,Junkers Ju 52 3Md,Lufthansa Deutsche,Commercial,10,10.0,0
1938,Qtr 1,2,February,22,1938-02-22,Tuesday,France,France,Pontoise,Junkers,Junkers Ju.52D,Lufthansa Deutsche,Commercial,3,3.0,0
1948,Qtr 1,2,February,21,1948-02-21,Saturday,France,France,St. Marcouf,Latecoere,Latecoere 631 (Flying Boat)F,Airlines Latecoere,Commercial,14,14.0,0
1938,Qtr 1,2,February,9,1938-02-09,Wednesday,France,France,Marseille,Lioré,Lioré Et,France Air,Commercial,12,8.0,0
1989,Qtr 1,2,February,6,1989-02-06,Monday,France,France,Marseille,Vickers,Vickers 952F Vanguardf,Ram,Commercial,3,3.0,0
1958,Qtr 1,2,February,19,1958-02-19,Wednesday,France,French,Raiatea,Consolidated,Consolidated Pby 5A,Interinsulaire Aérien Polynesiaréseau,Commercial,15,15.0,0
1941,Qtr 1,2,February,26,1941-02-26,Wednesday,Georgia,Georgia,Atlanta,Douglas,Douglas Dc,Lines Air Eastern,Commercial,16,9.0,0
1958,Qtr 1,2,February,6,1958-02-06,Thursday,Germany,Germany,Munich,Airspeed Ambassador,Airspeed Ambassador As 57G,British European Airways,Commercial,44,23.0,0
1948,Qtr 1,2,February,12,1948-02-12,Thursday,Germany,Germany,Ubrichstein,Douglas,Douglas Dc 3Oy,Luftfartselskab Danske Det,Commercial,21,12.0,0
2001,Qtr 1,2,February,8,2001-02-08,Thursday,Germany,Germany,Nurnberg,Learjet,Learjet 35Ai,Aeroservizi E A S,Commercial,3,3.0,0
1988,Qtr 1,2,February,8,1988-02-08,Monday,Germany,Germany,Mulheim,Swearingen,Swearingen Sa.227Ac Metro Iiid,Flugdienst Nurnberger Nfd,Commercial,21,21.0,0
1944,Qtr 1,2,February,21,1944-02-21,Monday,Greece,Greece,Eubeoa,Junkers,Junkers Ju 52 3Md,Lufthansa Deutsche,Commercial,16,16.0,0
1991,Qtr 1,2,February,5,1991-02-05,Tuesday,Greece,Greece,Nea Ankhialos,Lockheed,Lockheed C,Force Air Hellenic,Military,63,63.0,0
1997,Qtr 1,2,February,19,1997-02-19,Wednesday,Guatemala,Guatemala,Guatemala City,Iai 1124,Iai 1124 Westwindyv,Transpolar,Commercial,5,5.0,0
1996,Qtr 1,2,February,12,1996-02-12,Monday,Hati,Hati,Port-Au-Prince,Gaf Nomad,Gaf Nomad N,Express Hati,Commercial,15,11.0,0
1989,Qtr 1,2,February,24,1989-02-24,Friday,United States,Hawaii,Honolulu,Boeing,Boeing B 747,Lines Air United,Commercial,356,9.0,0
1974,Qtr 1,2,February,2,1974-02-02,Saturday,Hipan,Hipan,Honolulu,Boeing,Boeing B,Airways World American,Commercial,298,1.0,0
1967,Qtr 1,2,February,20,1967-02-20,Monday,Honduras,Honduras,Tegucigalpa,Douglas,Douglas Dc 6Hr,Airlines Sahsa,Commercial,55,4.0,0
2011,Qtr 1,2,February,14,2011-02-14,Monday,Honduras,Honduras,Santa Ana Francisco Morazan,LET,Let L 410,Airways American Central,Commercial,14,14.0,0
1949,Qtr 1,2,February,24,1949-02-24,Thursday,Hong Kong,Hong,Braemar Resevoir,Douglas,Douglas Dc 3Vr,Airways Pacific Kongcathay,Commercial,23,23.0,0
1990,Qtr 1,2,February,14,1990-02-14,Wednesday,India,India,Bangalore,Airbus,Airbus A320,Indian Airlines,Commercial,146,92.0,0
1955,Qtr 1,2,February,2,1955-02-02,Wednesday,India,India,Nagpur,Douglas,Douglas Dc 3Vt,Indian Airlines,Commercial,10,10.0,0
1952,Qtr 1,2,February,19,1952-02-19,Tuesday,India,India,Nagpur,Douglas,Douglas Dc 3Vt,Deccan Airways,Commercial,16,3.0,0
1954,Qtr 1,2,February,25,1954-02-25,Thursday,India,India,New Delhi,Douglas,Douglas Dc 3Vt,Indian Airlines,Commercial,3,3.0,0
1980,Qtr 1,2,February,22,1980-02-22,Friday,India,India,Agra,Fairchild,Fairchild C 119G,Force Air Indian,Military,47,46.0,1
1982,Qtr 1,2,February,7,1982-02-07,Sunday,India,India,Srinagar,Fairchild,Fairchild C 119G,Force Air Indian,Military,23,23.0,0
1966,Qtr 1,2,February,7,1966-02-07,Monday,India,India,Srinagar,Fokker,Fokker F 27 Friendship,Indian Airlines,Commercial,37,37.0,0
1964,Qtr 1,2,February,18,1964-02-18,Tuesday,India,India,Banihal Pass,Ilyushin,Ilyushin Il 14,Force Air Indian,Military,13,13.0,0
1966,Qtr 1,2,February,15,1966-02-15,Tuesday,India,India,Delhi,Sud Aviation,Sud Aviation Se 210 Caravelle,Indian Airlines,Commercial,80,2.0,0
1992,Qtr 1,2,February,6,1992-02-06,Thursday,United States,Indiana,Evansville,Lockheed,Lockheed C 130B,Force Air Us,Military,5,5.0,12
1973,Qtr 1,2,February,28,1973-02-28,Wednesday,Indonesia,Indonesia,Nabire,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Merpati Nusantara Airlines,Commercial,13,13.0,0
1948,Qtr 1,2,February,10,1948-02-10,Tuesday,Indonesia,Indonesia,Padalarang,Douglas,Douglas Dc 3Pk,KLM Royal Dutch Airlines,Commercial,19,19.0,0
1961,Qtr 1,2,February,3,1961-02-03,Friday,Indonesia,Indonesia,Surabaya,Douglas,Douglas Dc 3Pk,Garuda Indonesia Airlines,Commercial,26,26.0,0
1972,Qtr 1,2,February,1,1972-02-01,Tuesday,Indonesia,Indonesia,Tegal,Douglas,Douglas Dc 6Xw,Laos Penas Air Royal,Commercial,9,6.0,0
1967,Qtr 1,2,February,16,1967-02-16,Thursday,Indonesia,Indonesia,Manado,Lockheed,Lockheed L 188C,Garuda Indonesia Airlines,Commercial,63,22.0,0
2005,Qtr 1,2,February,22,2005-02-22,Tuesday,Indonesia Sarmi,Indonesia,Sarmi,CASA,Casa 212 Aviocar,Indonesia Indonesian National Police,Commercial,18,15.0,0
1959,Qtr 1,2,February,3,1959-02-03,Tuesday,United States,Iowa,Mason City,Beechcraft,Beechcraft Bonanza,Charter Private Service Flying Dwyer,Private,4,4.0,0
2018,Qtr 1,2,February,18,2018-02-18,Sunday,Iran,Iran,Kohangan Village,Atr,Atr 72,Airlines Aseman Iran,Commercial,66,66.0,0
2003,Qtr 1,2,February,19,2003-02-19,Wednesday,Iran,Iran,Shahdad,Ilyushin,Ilyushin Il,Corps Guards Revolution S Islamic,Military,275,275.0,0
2000,Qtr 1,2,February,2,2000-02-02,Wednesday,Iran,Iran,Tehran,Lockheed,Lockheed C 130 Hercules,Force Air Iran Of Republic Islamic,Military,8,8.0,0
2002,Qtr 1,2,February,12,2002-02-12,Tuesday,Iran,Iran,Khorramabed,Tupolev,Tupolev Tu,Tours Air Iran,Commercial,117,117.0,0
1993,Qtr 1,2,February,8,1993-02-08,Monday,Iran,Iran,Tehran,Tupolev,Tupolev Tu 154M Sukhoi Su,Force Air Iranian  Tours Air Iran,Military,133,133.0,0
1960,Qtr 1,2,February,26,1960-02-26,Friday,Ireland,Ireland,Shannon,Douglas,Douglas Dc 7Ci,Alitalia,Commercial,52,34.0,0
2011,Qtr 1,2,February,10,2011-02-10,Thursday,Ireland,Ireland,Cork,Swearingen,Swearingen Sa 227Bc Metro,Manx2,Commercial,12,6.0,0
1999,Qtr 1,2,February,25,1999-02-25,Thursday,Italy,Italy,Genoa,Dornier,Dornier 328,Airlines Minerva,Commercial,31,4.0,0
1945,Qtr 1,2,February,2,1945-02-02,Friday,Italy,Italy,Montieri,Douglas,Douglas C 47,Forces Air Army U S,Military,26,23.0,0
1966,Qtr 1,2,February,18,1966-02-18,Friday,Italy,Italy,Milan,Douglas,Douglas Dc,Services Air International Belgian,Commercial,4,4.0,0
1955,Qtr 1,2,February,13,1955-02-13,Sunday,Italy,Italy,Abruzzio Mountains,Douglas,Douglas Dc 6Oo,Sabena,Commercial,29,29.0,0
1958,Qtr 1,2,February,15,1958-02-15,Saturday,Italy,Italy,Mount Vesuvius,Douglas,Douglas Vc,Force Air Us,Military,16,16.0,0
1940,Qtr 1,2,February,10,1940-02-10,Saturday,Italy,Italy,Cosenza,Savoia,Savoia Marchetti Sm,Sa Littoria Ala,Commercial,10,10.0,0
1947,Qtr 1,2,February,15,1947-02-15,Saturday,Italy,Italy,Terracina,Savoia,Savoia Marchetti Sm,Militari Aerei Corrieri,Military,16,16.0,0
1952,Qtr 1,2,February,16,1952-02-16,Saturday,Italy,Italy,Burgio,Vickers,Vickers 614 Viking 1G,Hunting Air Travel,Commercial,31,31.0,0
1952,Qtr 1,2,February,7,1952-02-07,Thursday,Japan,Japan,Kaneko,Boeing,Boeing B 29,Force Air U S,Military,13,13.0,5
1966,Qtr 1,2,February,4,1966-02-04,Friday,Japan,Japan,Tokyo Bay,Boeing,Boeing B 727,All Nippon Airways,Commercial,133,133.0,0
1964,Qtr 1,2,February,27,1964-02-27,Thursday,Japan,Japan,Oita,Convair,Convair Cv 240,Airlines Fuji,Commercial,42,20.0,0
1954,Qtr 1,2,February,1,1954-02-01,Monday,Japan,Japan,Hokkaido,Curtiss,Curtiss Wright,Force Air U S,Military,35,35.0,0
1982,Qtr 1,2,February,9,1982-02-09,Tuesday,Japan,Japan,Tokyo,Mcdonnell Douglas,Mcdonnell Douglas Dc 8,Lines Air Japan,Commercial,174,24.0,0
1973,Qtr 1,2,February,28,1973-02-28,Wednesday,Kazakhstan,Kazakhstan,Semipalatinsk,Yakovlev,Yakovlev Yak,Aeroflot,Commercial,32,32.0,0
2003,Qtr 1,2,February,16,2003-02-16,Sunday,United States,Kentucky,Ferguson,Cessna,Cessna,Co Aircraft Northern Great Taxi Air,Commercial,7,3.0,0
1958,Qtr 1,2,February,27,1958-02-27,Thursday,Lancs,Lancs,Horwich,Bristol 170 Freighter,Bristol 170 Freighter,England Silver City Airways,Commercial,42,35.0,0
1972,Qtr 1,2,February,4,1972-02-04,Friday,Laos,Laos,Pha Khao,De Havilland Canada,De Havilland Canada C 7A,Air America,Commercial,38,1.0,0
1968,Qtr 1,2,February,24,1968-02-24,Saturday,Laos,Laos,Ban Napa,Douglas,Douglas Dc 3Xw,Lao Air Royal,Commercial,37,37.0,0
1972,Qtr 1,2,February,11,1972-02-11,Friday,Laos,Laos,Vientiane,Douglas,Douglas Dc 4Xw,Lao Air Royal,Commercial,23,23.0,0
2002,Qtr 1,2,February,15,2002-02-15,Friday,Liberia,Liberia,Monrovia,Antonov,Antonov 12Bper Adl,Tiramavia,Commercial,10,1.0,0
1949,Qtr 1,2,February,4,1949-02-04,Friday,Libya,Libya,Castel Benito,Douglas,Douglas C 54A,Skyways of London,Commercial,53,1.0,0
1991,Qtr 1,2,February,1,1991-02-01,Friday,United States,Los,Lax,Boeing,Boeing B 737,California Angeles Usair Skywest Airlines,Commercial,101,34.0,0
1973,Qtr 1,2,February,19,1973-02-19,Monday,United States,Louisiana,Morgan City,Bell,Bell 206,Inc Helo Petrolium,Commercial,5,5.0,0
1980,Qtr 1,2,February,21,1980-02-21,Thursday,United States,Louisiana,Leeville,Sikorsky,Sikorsky S,Taxi Air Inc Airs Rotor,Commercial,7,6.0,0
1989,Qtr 1,2,February,19,1989-02-19,Sunday,Malaysia,Malaysia,Kuala Lumpur,Boeing,Boeing 747,Flying Tiger Line,Commercial,4,4.0,0
1985,Qtr 1,2,February,22,1985-02-22,Friday,Mali,Mali,Timbuktu,Antonov,Antonov An,Air Mali,Commercial,51,50.0,0
1956,Qtr 1,2,February,18,1956-02-18,Saturday,Malta,Malta,Zurrieg,Avro,Avro 685 York,Airlines Scottish,Commercial,50,50.0,0
1954,Qtr 1,2,February,12,1954-02-12,Friday,Malta,Malta,Gozo,Avro,Avro Shackleton,Force Air Royal,Military,10,10.0,0
1931,Qtr 1,2,February,20,1931-02-20,Friday,Canada,Manitoba,Bagot,Fokker,Fokker Universal F 14,Canada Western Canada Airways,Commercial,3,2.0,0
1962,Qtr 1,2,February,25,1962-02-25,Sunday,Venezuela,Margarita,Portlamar,Fairchild,Fairchild F,Venezuela Island Avensa,Commercial,23,23.0,0
1974,Qtr 1,2,February,22,1974-02-22,Friday,United States,Maryland,Baltimore,McDonnell Douglas,Mc Donnell Dougals Dc 9,Lines Air Delta,Commercial,15,1.0,0
1963,Qtr 1,2,February,28,1963-02-28,Thursday,United States,Massachusetts,Boston,Douglas,Douglas Dc,Lines Air Eastern,Commercial,26,0.0,1
1967,Qtr 1,2,February,9,1967-02-09,Thursday,Mexico,Mexico,Mexico City,Antonov,Antonov An,Cubana de Aviacion,Commercial,10,10.0,0
1938,Qtr 1,2,February,9,1938-02-09,Wednesday,Mexico,Mexico,Guadalupe,Lockheed,Lockheed 10 Electraxa Bas,Mexicana,Commercial,2,2.0,0
1932,Qtr 1,2,February,2,1932-02-02,Tuesday,United States,Michigan,Marcellus,Stearman,Stearman C,Airlines Transamerican,Commercial,1,1.0,0
2001,Qtr 1,2,February,8,2001-02-08,Thursday,United States,Minnesota,Beaver,Swearingen,Swearingen Sa.227At Merlin,Center Flight Illinois Northern,Commercial,6,2.0,0
1921,Qtr 1,2,February,3,1921-02-03,Thursday,Minnisota,Minnisota,Mendotta,De Havilland,De Havilland Dh,US Aerial Mail Service,Commercial,1,1.0,0
1995,Qtr 1,2,February,16,1995-02-16,Thursday,United States,Missouri,Kansas City,Mcdonnell Douglas,Mcdonnell Douglas Dc 8,Ati,Commercial,3,3.0,0
2003,Qtr 1,2,February,7,2003-02-07,Friday,Morocco,Morocco,Agadir,Antonov,Antonov 12Bpur Lip,Enterprise Aviation Volare,Commercial,8,8.0,0
1945,Qtr 1,2,February,23,1945-02-23,Friday,Morocco,Morocco,Casablanca,Curtiss,Curtiss C,Force Air Army States United,Military,30,13.0,0
1934,Qtr 1,2,February,26,1934-02-26,Monday,Morocco,Morocco,Rio De Oro,Latécoère,Latécoère 28F,France Air,Commercial,6,1.0,0
